Roll number,Total cost,Result
68,40800,1
132,79200,1
65,39000,1
22,13200,1
11,6600,1
19,11400,1
25,15000,1
111,66600,1
61,36600,1
35,21000,1
53,31800,1
78,46800,1
61,36600,1
57,34200,1
137,82200,1
188,112800,1
13,7800,1
53,31800,1
4,2400,1
292,175200,1
41,24600,1
6,3600,1
114,68400,1
10,6000,1
108,64800,1
238,142800,1
95,57000,1
78,46800,1
53,31800,1
53,31800,1
11,6600,1
29,17400,1
15,9000,1
202,121200,1
66,39600,1
160,96000,1
267,160200,1
159,95400,1
16,9600,1
44,26400,1
53,31800,1
61,36600,1
162,97200,1
270,162000,1
103,61800,1
151,90600,1
141,84600,1
63,37800,1
88,52800,1
53,31800,1
96,57600,1
72,43200,1
85,51000,1
17,10200,1
53,31800,1
29,17400,1
5,3000,1
194,116400,1
80,48000,1
321,192600,1
53,31800,1
33,19800,1
75,45000,1
61,36600,1
19,11400,1
100,60000,1
88,52800,1
6,3600,1
174,104400,1
35,21000,1
187,112200,1
111,66600,1
18,10800,1
86,51600,1
83,49800,1
96,57600,1
105,63000,1
33,19800,1
39,23400,1
111,66600,1
68,40800,1
199,119400,1
17,10200,1
13,7800,1
234,140400,1
51,30600,1
66,39600,1
97,58200,1
176,105600,1
40,24000,1
68,40800,1
60,36000,1
18,10800,1
6,3600,1
60,36000,1
43,25800,1
9,5400,1
111,66600,1
23,13800,1
50,30000,1
188,112800,1
136,81600,1
18,10800,1
83,49800,1
74,44400,1
96,57600,1
51,30600,1
5,3000,1
53,31800,1
67,40200,1
75,45000,1
76,45600,1
113,67800,1
43,25800,1
79,47400,1
33,19800,1
53,31800,1
15,9000,1
51,30600,1
53,31800,1
5,3000,1
81,48600,1
56,33600,1
96,57600,1
90,54000,1
188,112800,1
58,34800,1
29,17400,1
114,68400,1
1,600,1
100,60000,1
28,16800,1
2,1200,1
96,57600,1
53,31800,1
95,57000,1
61,36600,1
53,31800,1
164,98400,1
264,158400,1
70,42000,1
105,63000,1
66,39600,1
114,68400,1
22,13200,1
53,31800,1
185,111000,1
40,24000,1
272,163200,1
42,25200,1
417,250200,1
78,46800,1
53,31800,1
53,31800,1
27,16200,1
121,72600,1
106,63600,1
308,184800,1
210,126000,1
21,12600,1
107,64200,1
3,1800,1
49,29400,1
2,1200,1
103,61800,1
3,1800,1
183,109800,1
62,37200,1
56,33600,1
67,40200,1
39,23400,1
81,48600,1
15,9000,1
148,88800,1
290,174000,1
14,8400,1
335,201000,1
53,31800,1
65,39000,1
139,83400,1
17,10200,1
35,21000,1
155,93000,1
1,600,1
81,48600,1
14,8400,1
112,67200,1
87,52200,1
52,31200,1
42,25200,1
77,46200,1
252,151200,1
25,15000,1
16,9600,1
53,31800,1
285,171000,1
3,1800,1
44,26400,1
138,82800,1
179,107400,1
53,31800,1
60,36000,1
142,85200,1
61,36600,1
1,600,1
30,18000,1
38,22800,1
10,6000,1
14,8400,1
54,32400,1
14,8400,1
176,105600,1
1,600,1
19,11400,1
145,87000,1
63,37800,1
53,31800,1
221,132600,1
15,9000,1
135,81000,1
53,31800,1
75,45000,1
132,79200,1
85,51000,1
128,76800,1
60,36000,1
4,2400,1
39,23400,1
53,31800,1
4,2400,1
