Roll number,Rarity,Operator
1,3,Plume
2,4,Rope
3,3,Ansel
4,4,Meteor
5,3,Cardigan
6,5,Proviso
7,4,Rope
8,3,Fang
9,3,Hibiscus
10,3,Plume
11,4,Myrtle
12,3,Ansel
13,4,Gravel
14,4,Myrtle
15,4,Podenco
16,3,Vanilla
17,4,Frostleaf
18,4,Matterhorn
19,3,Plume
20,4,Greyy
21,4,Myrrh
22,3,Orchid
23,4,Rope
24,5,Shamare
25,4,Vermeil
26,4,Ambriel
27,3,Midnight
28,4,Gummy
29,3,Spot
30,5,Projekt Red
31,4,Arene
32,4,Scavenger
33,3,Cardigan
34,6,Kal'tsit
35,4,Podenco
36,3,Catapult
37,3,Catapult
38,4,Click
39,4,Pinecone
40,4,Matterhorn
41,4,Matterhorn
42,3,Orchid
43,3,Vanilla
44,4,Vermeil
45,5,Franka
46,3,Ansel
47,3,Kroos
48,4,Deepcolor
49,4,Frostleaf
50,3,Beagle
51,4,Jackie
52,5,Mayer
53,4,Podenco
54,3,Vanilla
55,3,Orchid
56,4,Myrrh
57,4,Ambriel
58,4,Gummy
59,4,Ambriel
60,3,Kroos
61,5,Proviso
62,3,Lava
63,4,Indigo
64,4,Greyy
65,3,Steward
66,4,Cuora
67,4,Gravel
68,6,Mlynar
1,4,Jaye
2,4,May
3,3,Popukar
4,3,Orchid
5,3,Steward
6,4,Vigna
7,3,Plume
8,3,Hibiscus
9,4,Beehunter
10,5,Franka
11,3,Vanilla
12,4,Mousse
13,4,Doberman
14,6,Rosa
15,4,Greyy
16,4,Myrrh
17,4,Pinecone
18,4,Beanstalk
19,3,Orchid
20,3,Catapult
21,4,Pinecone
22,4,Indigo
23,3,Cardigan
24,3,Cardigan
25,4,Gummy
26,3,Melantha
27,3,Catapult
28,3,Cardigan
29,4,Aciddrop
30,4,Rope
31,5,Proviso
32,3,Spot
33,3,Ansel
34,4,Jackie
35,3,Hibiscus
36,4,Sussurro
37,4,Beehunter
38,4,Haze
39,4,Jessica
40,3,Kroos
41,3,Orchid
42,4,Haze
43,5,Ptilopsis
44,4,Perfumer
45,4,Cutter
46,4,Doberman
47,4,Aciddrop
48,3,Spot
49,4,Roberta
50,4,Pinecone
51,3,Steward
52,3,Kroos
53,3,Beagle
54,4,Gummy
55,4,Gummy
56,4,Utage
57,3,Lava
58,4,Earthspirit
59,3,Hibiscus
60,4,Utage
61,3,Vanilla
62,4,Podenco
63,3,Ansel
64,5,Proviso
65,4,Indigo
66,5,Franka
67,3,Vanilla
68,3,Steward
69,3,Lava
70,4,Jackie
71,3,Spot
72,3,Fang
73,4,Beanstalk
74,5,Franka
75,4,Chestnut
76,3,Steward
77,5,Proviso
78,3,Beagle
79,4,Sussurro
80,3,Midnight
81,4,Doberman
82,4,Beehunter
83,3,Plume
84,3,Spot
85,3,Melantha
86,4,Chestnut
87,3,Fang
88,6,Magallan
89,3,Spot
90,4,Mousse
91,4,Earthspirit
92,4,May
93,4,Click
94,5,Franka
95,3,Lava
96,4,Roberta
97,3,Popukar
98,4,Jackie
99,3,Cardigan
100,4,Indigo
101,3,Melantha
102,4,Meteor
103,4,Cutter
104,6,Archetto
105,4,Jackie
106,3,Ansel
107,3,Melantha
108,4,Pinecone
109,4,Doberman
110,4,Meteor
111,3,Popukar
112,4,Roberta
113,3,Midnight
114,3,Melantha
115,3,Vanilla
116,4,Jaye
117,4,Roberta
118,4,Doberman
119,3,Beagle
120,4,Vermeil
121,3,Ansel
122,4,Utage
123,5,Cliffheart
124,4,Frostleaf
125,4,Gummy
126,4,Aciddrop
127,4,Beanstalk
128,4,Cutter
129,3,Steward
130,4,Cutter
131,4,Jessica
132,6,Mlynar
1,4,Shaw
2,3,Beagle
3,4,Scavenger
4,3,Kroos
5,4,Indigo
6,3,Melantha
7,4,May
8,3,Orchid
9,4,Matterhorn
10,6,Rosa
11,4,Beehunter
12,4,Beehunter
13,3,Catapult
14,4,Beanstalk
15,3,Plume
16,4,Click
17,3,Kroos
18,4,Jaye
19,3,Melantha
20,3,Midnight
21,4,Indigo
22,4,Matterhorn
23,4,Haze
24,5,Franka
25,3,Popukar
26,3,Steward
27,4,Gummy
28,4,Cuora
29,3,Plume
30,3,Cardigan
31,3,Kroos
32,3,Plume
33,3,Melantha
34,4,Gravel
35,4,Cutter
36,3,Catapult
37,4,Gummy
38,3,Plume
39,5,Proviso
40,3,Spot
41,5,Mulberry
42,4,Chestnut
43,3,Orchid
44,3,Fang
45,5,Franka
46,3,Plume
47,4,Perfumer
48,3,Fang
49,4,Gravel
50,4,Earthspirit
51,3,Hibiscus
52,3,Lava
53,4,Jessica
54,4,Aciddrop
55,3,Kroos
56,4,Vigna
57,3,Steward
58,3,Catapult
59,4,Pinecone
60,4,Meteor
61,3,Catapult
62,4,Cutter
63,4,May
64,4,Deepcolor
65,6,Mlynar
1,4,Jaye
2,3,Fang
3,3,Cardigan
4,3,Orchid
5,4,Click
6,3,Hibiscus
7,3,Midnight
8,3,Cardigan
9,6,Blemishine
10,3,Beagle
11,3,Midnight
12,4,Utage
13,3,Melantha
14,3,Midnight
15,3,Plume
16,3,Steward
17,4,Beehunter
18,3,Plume
19,6,Rosa
20,3,Spot
21,3,Midnight
22,6,Mlynar
1,4,Chestnut
2,5,Franka
3,4,Vigna
4,4,Click
5,4,Doberman
6,4,Cuora
7,4,Vigna
8,3,Lava
9,4,Rope
10,4,Myrtle
11,6,Mlynar
1,4,Myrrh
2,4,Vermeil
3,3,Lava
4,5,Proviso
5,3,Beagle
6,4,Meteor
7,4,Gravel
8,4,Matterhorn
9,4,Shirayuki
10,4,Mousse
11,5,Franka
12,3,Lava
13,3,Midnight
14,3,Lava
15,5,Franka
16,4,Matterhorn
17,4,Haze
18,4,Deepcolor
19,6,Mlynar
1,4,Utage
2,3,Kroos
3,5,Andrena
4,4,Vigna
5,4,Meteor
6,3,Beagle
7,4,Beanstalk
8,4,Myrtle
9,5,Proviso
10,4,Matoimaru
11,4,Beanstalk
12,4,Shirayuki
13,3,Beagle
14,4,Greyy
15,3,Kroos
16,4,Perfumer
17,5,Proviso
18,4,Frostleaf
